"ロボットコード","回","キャンパスコード","A/B","ロボット名","フリガナ"
"103331401","3","3140","","バックシュート君","バックシュートクン"
"103331501","3","3150","","２M１号","ニエムイチゴウ"
"103331601","3","3160","","モー君 or 上州からっ風号","ヨミカタガワカリマセン"
"103331701","3","3170","","二投流球三郎号","ニトウリュウタマサブロウゴウ"
"103331801","3","3180","","スピリットオブリバーサイド","スピリットオブリバーサイド"
"103331901","3","3190","","ぐるぐるちゃん","グルグルチャン"
"103332001","3","3200","","ガーベジコレクターのじゃんバリ君　or じゃんじゃんバリバリとるとる君","ヨミカタガワカリマセン"
"103332101","3","3210","","ピカボー","ピカボー"
"103332201","3","3220","","TOIN","トウイン"
"103332301","3","3230","","SUPERチューインガム号","スーパーチューインガムゴウ"
"103442401","3","4240","","66QB号","ロクロクビーゴウ"
"103442501","3","4250","","おたまやん","オタマヤン"
"103442601","3","4260","","凛凛","リンリン"
"103442701","3","4270","","押し太郎","オシタロウ"
"103442801","3","4280","","こがね虫くん","コガネムシクン"
"103442901","3","4290","","ウカイコッコピヨピヨ丸2号","ウカイコッコピヨピヨマルニゴウ"
"103443001","3","4300","","ハンマーフット'90","ハンマーフットナインティー"
"103443101","3","4310","","ニュートロンスターに賭ける橋","ニュートロンスターニカケルハシ"
"103443201","3","4320","","鈴鹿おろし","スズカオロシ"
"103443301","3","4330","","どすこいチリトリ君","ドスコイチリトリクン"
"103553401","3","5340","","つるつるバッファロー","ツルツルバッファロー"
"103553501","3","5350","","ダイナマイトパンチロボ","ダイナマイトパンチロボ"
"103553601","3","5360","","一撃必中！マッハシュータ","イチゲキヒッチュウマッハシュータ"
"103553701","3","5370","","摩耶大橋","マヤオオハシ"
"103553801","3","5380","","ドールドフィッシュ号","ドールドフィッシュゴウ"
"103553901","3","5390","","トロールでドン","トロールデドン"
"103554001","3","5400","","和歌山ええとこつれもていこら","ワカヤマエエトコツレモテイコラ"
"103664101","3","6410","","くにびき号","クニビキゴウ"
"103664201","3","6420","","白砂3号","ハクササンゴウ"
"103664301","3","6430","","からくり太郎","カラクリタロウ"
"103664401","3","6440","","パックンチョ","パックンチョ"
"103664501","3","6450","","Ｗinning　Ｄestiny　Ｍashine","ウィニングデスティニーマシン"
"103664601","3","6460","","ゴロゴロスッテン号","ゴロゴロスッテンゴウ"
"103664701","3","6470","","カッタ君Ⅱ号","カッタクンニゴウ"
"103664801","3","6480","","走れ！イーブン","ハシレイーブン"
"103774901","3","7490","","TORIC ２２号","トリックニジュウニゴウ"
"103775001","3","7500","","サンキュウたるみ丸","サンキュウタルミマル"
"103775101","3","7510","","電光石火（CK-2）","ヨミカタガワカリマセン"
"103775201","3","7520","","コスモビートル","コスモビートル"
